canonical_family,variants,matched_headlines,plain_neutral_headlines,plain_neutral_share_pct,direction,external_support,recommendation,reason
rebound,"rebound, rebounds, rebounded, rebounding",836,324,38.8,positive,"SentiBigNomics; Loughran-McDonald",test_now,"Clear recovery language and substantial corpus coverage."
surpass,"surpass, surpasses, surpassed, surpassing",313,245,78.3,positive,"SentiBigNomics; Loughran-McDonald",test_now,"Usually describes results above estimates or a benchmark."
upside,"upside, upsides",726,421,58.0,positive,SentiBigNomics,test_now,"Finance-specific favourable potential; review question headlines separately."
blowout,"blowout, blowouts",58,41,70.7,positive,SentiBigNomics,test_now,"Usually a strongly positive earnings or launch descriptor in this corpus."
outperforming,outperforming,79,60,75.9,positive,Loughran-McDonald,test_now,"Missing morphological member of the already-approved outperform family."
slump,"slump, slumps, slumped, slumping",337,133,39.5,negative,"Henry; SentiBigNomics",test_now,"Clear adverse performance language with strong corpus coverage."
selloff,"selloff, selloffs, sell-off, sell-offs",512,220,43.0,negative,"course headline corpus",test_now,"Highly finance-specific adverse market-move language absent from the compared unigram lists."
rout,rout,114,50,43.9,negative,"course headline corpus",test_now,"Usually an acute adverse market decline in the supplied headlines."
headwind,"headwind, headwinds",92,47,51.1,negative,SentiBigNomics,test_now,"Finance-specific obstacle language; small magnitude may be appropriate."
slowdown,"slowdown, slowdowns",155,26,16.8,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Adverse economic or operating deceleration; avoid automatically adding generic slowing."
overvalued,overvalued,51,36,70.6,negative,Loughran-McDonald,test_now,"Clear negative valuation assessment in financial headlines."
downturn,"downturn, downturns",94,42,44.7,negative,"Henry; SentiBigNomics; Loughran-McDonald",test_now,"Finance-specific adverse cycle term supported by all three comparisons."
contraction,"contraction, contractions",28,22,78.6,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Clear adverse economic or top-line contraction language."
antitrust,antitrust,137,51,37.2,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Adverse regulatory-risk event, but resolved or rejected cases require sentence context."
recall,"recall, recalls, recalled, recalling",44,24,54.5,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Usually a product-quality or safety event in company headlines."
breach,"breach, breaches, breached",35,18,51.4,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Usually covenant, data, contract, or rules failure; inspect rare technical-market uses."
outage,"outage, outages",58,28,48.3,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Operational disruption with relatively clear negative meaning."
fine_penalty,"fined, fines",50,25,50.0,negative,Loughran-McDonald,test_now,"Legal penalty variants are negative; do not override ambiguous plain word fine."
delist,"delist, delisted, delisting",13,9,69.2,negative,"SentiBigNomics; Loughran-McDonald",test_now,"Low-frequency but highly finance-specific adverse listing event."
surge,"surge, surges, surged, surging",1066,483,45.3,contextual,SentiBigNomics,phrase_or_context_rule,"Direction depends on subject: revenue or price surge is favourable, but costs or volatility surge is adverse."
soar,"soar, soars, soared, soaring",864,465,53.8,contextual,SentiBigNomics,phrase_or_context_rule,"Usually favourable for prices or revenue but adverse when costs, losses, or inflation soar."
plunge,"plunge, plunges, plunged, plunging",340,175,51.5,contextual,SentiBigNomics,phrase_or_context_rule,"Usually adverse for price or revenue but favourable when costs or claims plunge."
tumble,"tumble, tumbles, tumbled, tumbling",328,112,34.1,contextual,SentiBigNomics,phrase_or_context_rule,"Subject-dependent movement verb; best paired with price, shares, earnings, or revenue."
sink,"sink, sinks, sank, sinking",593,116,19.6,contextual,SentiBigNomics,phrase_or_context_rule,"Often adverse price language but subject-dependent and sometimes metaphorical."
undervalued,undervalued,498,387,77.7,positive,"SentiBigNomics polarity conflict",manual_review,"Financial interpretation is favourable, while SentiBigNomics assigns a negative value; many corpus uses are questions."
probe,"probe, probes",194,106,54.6,negative,SentiBigNomics,manual_review,"Investigation risk is adverse, but the term may describe a resolved or external investigation."
investigation,"investigation, investigations",40,17,42.5,negative,Loughran-McDonald,manual_review,"Adverse event term whose final sentence meaning can be mitigated by settled, cleared, or closed."
halt,"halt, halts, halted",141,76,53.9,contextual,"SentiBigNomics; Loughran-McDonald",do_not_add_unigram,"Many supplied cases are neutral exchange circuit breakers or news-dissemination halts."
volatility,"volatility, volatile, choppy",581,272,46.8,uncertainty,"SentiBigNomics; Loughran-McDonald",separate_risk_index,"Loughran-McDonald marks volatility and volatile as both negative and uncertainty; risk is not the same as directional sentiment."
