case_id,validation_set,canonical_family,headline_date,aligned_trading_date,ticker,sector,title,plain_compound,finance_compound,finance_score_change,plain_label,finance_label,ai_expected_direction,student_expected_direction,student_review_status,student_rationale
case_001,initial_balanced_sector_cases,,27/02/2020,27/02/2020,TMUS,Comm,"Federal Communications Commission Set To Proposed Fines For Four US Carriers That Could Top $200M In Total Over Alleged Unauthorized Sale Of Real-Time Location Data From Users; Proposed Fines On AT&T, T-Mobile, Verizon And Sprint",0.2023,-0.5859,-0.7882,positive,negative,negative,negative,agree,
case_002,initial_balanced_sector_cases,,7/05/2020,7/05/2020,CMCSA,Comm,Roku Stock Will Keep Putting a Beating on Cable Competitors,-0.4588,0.4696,0.9284,negative,positive,positive,positive,agree,
case_003,initial_balanced_sector_cases,,24/07/2023,24/07/2023,WMT,Consumer,AMC Stock: AMC Entertainment Just Inched Closer to Bankruptcy,0.4215,-0.3999,-0.8214,positive,negative,negative,negative,agree,
case_004,initial_balanced_sector_cases,,5/08/2023,7/08/2023,KO,Consumer,74% of Warren Buffett's Portfolio Is in 5 Stocks -- but Only This 1 Is Beating the Market,-0.6124,0.6237,1.2361,negative,positive,positive,ambiguous,override,
case_005,initial_balanced_sector_cases,,12/03/2020,12/03/2020,OXY,Energy,Credit Suisse Downgrades Occidental Petroleum to Underperform,0.3818,-0.5789,-0.9607,positive,negative,negative,negative,agree,
case_006,initial_balanced_sector_cases,,5/08/2023,7/08/2023,CVX,Energy,74% of Warren Buffett's Portfolio Is in 5 Stocks -- but Only This 1 Is Beating the Market,-0.6124,0.6237,1.2361,negative,positive,positive,ambiguous,override,
case_007,initial_balanced_sector_cases,,13/03/2023,13/03/2023,GS,Financials,Hedge funds stand to lap up bearish profits from bank stock rout,0.4404,-0.5789,-1.0193,positive,negative,negative,negative,agree,
case_008,initial_balanced_sector_cases,,1/07/2021,1/07/2021,MS,Financials,This Undiscovered Company Is Beating Investment Banks at Their Own Game,-0.4588,0.4696,0.9284,negative,positive,positive,positive,agree,
case_009,initial_balanced_sector_cases,,31/01/2020,31/01/2020,AMGN,Healthcare,Amgen shares are trading lower after the company on Thursday issued FY20 EPS guidance below estimates. Baird analysts today downgraded the company's stock from Neutral to Underperform.,0,-0.7469,-0.7469,neutral,negative,negative,negative,agree,
case_010,initial_balanced_sector_cases,,30/04/2020,30/04/2020,GILD,Healthcare,5 Small-Cap ETFs Beating S&P 500 in April,-0.4588,0.4696,0.9284,negative,positive,positive,positive,agree,
case_011,initial_balanced_sector_cases,,27/04/2020,27/04/2020,CAT,Industrials,"UPDATE: Morgan Stanley Downgrades Caterpillar And United Rentals As Firm Sees 'growing headwinds from a multi-year downturn in Non-Resi Construction, combined with historically weak oil prices and declining mining commodity price'",0.1531,-0.7918,-0.9449,positive,negative,negative,negative,agree,
case_012,initial_balanced_sector_cases,,15/05/2021,17/05/2021,UPS,Industrials,This Is the Secret to Beating the Stock Market,-0.4588,0.4696,0.9284,negative,positive,positive,ambiguous,override,
case_013,initial_balanced_sector_cases,,4/05/2020,4/05/2020,DOW,Materials,"B of A Securities Downgrades Dow to Underperform, Announces $37 Price Target",0.296,-0.631,-0.927,positive,negative,negative,negative,agree,
case_014,initial_balanced_sector_cases,,8/04/2021,8/04/2021,NUE,Materials,2 Value Stocks That Are Beating the Market,-0.1531,0.6662,0.8193,negative,positive,positive,ambiguous,override,
case_015,initial_balanced_sector_cases,,17/09/2022,19/09/2022,O,RealEstate,3 Top Stocks to Buy During a Market Sell-Off,0.2023,-0.34,-0.5423,positive,negative,negative,ambiguous,override,
case_016,initial_balanced_sector_cases,,16/06/2023,16/06/2023,O,RealEstate,3 Dividend Aristocrat Stocks Beating Their Average Sector Yield,-0.4588,0.4696,0.9284,negative,positive,positive,positive,agree,
case_017,initial_balanced_sector_cases,,14/04/2020,14/04/2020,INTC,Tech,"Stocks Pointing To Higher Opening, But Bearish Pattern's Persist",0,-0.6747,-0.6747,neutral,negative,negative,negative,agree,
case_018,initial_balanced_sector_cases,,28/04/2021,28/04/2021,QCOM,Tech,Qualcomm Surges 6% in After-Hours Trading After Beating Estimates,-0.4588,0.4696,0.9284,negative,positive,positive,positive,agree,
case_019,initial_balanced_sector_cases,,16/01/2020,16/01/2020,NEE,Utilities,"Goldman Sachs Downgrades NextEra Energy to Neutral, Announces $256 Price Target",0.2732,-0.296,-0.5692,positive,negative,negative,negative,agree,
