term,canonical_family,plain_vader_score,finance_vader_score,action,headline_token_occurrences,rationale,score_source,reviewer_count,score_scale,review_status
antitrust,antitrust,,-1.06,add,137,Competition-law scrutiny or action.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
bankruptcy,bankruptcy,,-3.4899999999999998,add,49,Formal financial distress or insolvency process.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
bearish,bearish,,-2.36,add,59,Explicit negative market direction.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
beat,beat,,2.06,add,2083,Earnings or revenue above an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
beating,beat,-2.0,2.06,override,72,Earnings or revenue above an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
beats,beat,,2.06,add,881,Earnings or revenue above an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
blowout,blowout,,2.05,add,57,Exceptionally strong results or launch.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
blowouts,blowout,,2.05,add,1,Exceptionally strong results or launch.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
breach,breach,,-2.04,add,22,"Covenant, data, contract, or rules failure.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
breached,breach,,-2.04,add,1,"Covenant, data, contract, or rules failure.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
