review_round,canonical_family,variants,proposed_score,reviewer_count,score_standard_deviation,score_minimum,score_maximum,zero_exclusion_votes,proposed_direction,proposed_rationale,student_decision,student_approved_score,student_expected_direction,student_review_status,student_rationale
initial_compact_lexicon,beat,"beat, beats, beating",2.06,10,0.18973666,1.8,2.4,0,positive,Earnings or revenue above an announced benchmark.,approve,2.06,positive,reviewed,
initial_compact_lexicon,upgrade,"upgrade, upgraded, upgrades",2.22,10,0.122927259,2,2.4,0,positive,Upward analyst or issuer assessment.,approve,2.22,positive,reviewed,
initial_compact_lexicon,outperform,"outperform, outperformed, outperforms",2.04,10,0.18973666,1.7,2.3,0,positive,Expected or realised performance above a benchmark.,approve,2.04,positive,reviewed,
initial_compact_lexicon,bullish,bullish,2.36,10,0.126491106,2.1,2.5,0,positive,Explicit positive market direction.,approve,2.36,positive,reviewed,
initial_compact_lexicon,buyback,"buyback, buybacks",1.32,10,0.122927259,1.1,1.5,0,positive,"Issuer repurchase, commonly framed as shareholder support.",approve,1.32,positive,reviewed,
initial_compact_lexicon,miss,"miss, missed, misses",-2.05,10,0.18408935,-2.4,-1.8,0,negative,Earnings or revenue below an announced benchmark.,approve,-2.05,negative,reviewed,
initial_compact_lexicon,downgrade,"downgrade, downgraded, downgrades",-2.3,10,0.156347192,-2.5,-2,0,negative,"Downward analyst, issuer, or credit assessment.",approve,-2.3,negative,reviewed,
initial_compact_lexicon,underperform,"underperform, underperformed, underperforms",-2.05,10,0.195789002,-2.3,-1.7,0,negative,Expected or realised performance below a benchmark.,approve,-2.05,negative,reviewed,
initial_compact_lexicon,bearish,bearish,-2.36,10,0.126491106,-2.5,-2.1,0,negative,Explicit negative market direction.,approve,-2.36,negative,reviewed,
initial_compact_lexicon,default,"default, defaults",-3.18,10,0.131656118,-3.4,-3,0,negative,Failure to meet a financial obligation.,approve,-3.18,negative,reviewed,
initial_compact_lexicon,bankruptcy,bankruptcy,-3.49,10,0.073786479,-3.6,-3.4,0,negative,Formal financial distress or insolvency process.,approve,-3.49,negative,reviewed,
initial_compact_lexicon,insolvency,insolvency,-3.39,10,0.099442893,-3.5,-3.2,0,negative,Inability to meet financial obligations.,approve,-3.39,negative,reviewed,
initial_compact_lexicon,impairment,impairment,-2.05,10,0.11785113,-2.2,-1.8,0,negative,Recognised reduction in an asset's carrying value.,approve,-2.05,negative,reviewed,
initial_compact_lexicon,writedown,"writedown, writedowns",-2.21,10,0.110050493,-2.4,-2,0,negative,Recognised reduction in an asset's carrying value.,approve,-2.21,negative,reviewed,
initial_compact_lexicon,layoff,"layoff, layoffs",-2.07,10,0.149443412,-2.3,-1.8,0,negative,"Workforce reduction, treated as a negative operating signal.",exclude,0,ambiguous,reviewed,Layoffs these days are good for stock prices due to ai use
researched_expansion,rebound,"rebound, rebounds, rebounded, rebounding",1.67,10,0.115950181,1.5,1.8,0,positive,"Recovery in price, activity, or results.",approve,1.67,positive,reviewed,
