review_round,reviewer_id,reviewer_role,canonical_family,score,review_was_blind,weight_in_mean
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,bankruptcy,-3.4,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,bearish,-2.3,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,beat,1.8,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,bullish,2.3,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,buyback,1.3,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,default,-3.0,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,downgrade,-2.2,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,impairment,-2.0,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,insolvency,-3.3,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,layoff,-2.3,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,miss,-1.8,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,outperform,1.8,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,underperform,-1.8,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,upgrade,2.1,True,0.1
initial_compact_lexicon,reviewer_01,financial-news NLP reviewer,writedown,-2.2,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,bankruptcy,-3.5,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,bearish,-2.3,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,beat,2.0,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,bullish,2.3,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,buyback,1.4,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,default,-3.2,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,downgrade,-2.3,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,impairment,-2.1,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,insolvency,-3.4,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,layoff,-2.0,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,miss,-2.0,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,outperform,2.1,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,underperform,-2.1,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,upgrade,2.2,True,0.1
initial_compact_lexicon,reviewer_02,equity research analyst,writedown,-2.2,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,bankruptcy,-3.6,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,bearish,-2.5,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,beat,2.1,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,bullish,2.5,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,buyback,1.5,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,default,-3.2,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,downgrade,-2.4,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,impairment,-2.0,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,insolvency,-3.5,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,layoff,-2.1,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,miss,-2.1,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,outperform,2.0,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,underperform,-2.0,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,upgrade,2.3,True,0.1
initial_compact_lexicon,reviewer_03,model-risk reviewer,writedown,-2.3,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,bankruptcy,-3.5,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,bearish,-2.5,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,beat,2.2,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,bullish,2.5,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,buyback,1.4,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,default,-3.1,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,downgrade,-2.4,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,impairment,-2.1,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,insolvency,-3.4,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,layoff,-2.0,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,miss,-2.2,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,outperform,2.3,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,underperform,-2.3,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,upgrade,2.4,True,0.1
initial_compact_lexicon,reviewer_04,portfolio manager,writedown,-2.2,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,bankruptcy,-3.5,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,bearish,-2.5,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,beat,2.4,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,bullish,2.5,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,buyback,1.4,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,default,-3.3,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,downgrade,-2.5,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,impairment,-2.2,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,insolvency,-3.5,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,layoff,-2.3,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,miss,-2.4,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,outperform,2.1,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,underperform,-2.1,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,upgrade,2.3,True,0.1
initial_compact_lexicon,reviewer_05,computational linguist,writedown,-2.4,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,bankruptcy,-3.6,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,bearish,-2.3,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,beat,2.1,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,bullish,2.3,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,buyback,1.3,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,default,-3.4,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,downgrade,-2.3,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,impairment,-2.1,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,insolvency,-3.5,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,layoff,-1.8,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,miss,-2.1,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,outperform,1.9,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,underperform,-1.9,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,upgrade,2.2,True,0.1
initial_compact_lexicon,reviewer_06,financial sentiment validation specialist,writedown,-2.2,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,bankruptcy,-3.5,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,bearish,-2.3,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,beat,2.2,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,bullish,2.3,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,buyback,1.2,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,default,-3.2,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,downgrade,-2.4,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,impairment,-2.0,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,insolvency,-3.4,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,layoff,-2.1,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,miss,-2.1,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,outperform,2.1,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,underperform,-2.2,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,upgrade,2.3,True,0.1
initial_compact_lexicon,reviewer_07,financial disclosure analyst,writedown,-2.2,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,bankruptcy,-3.4,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,bearish,-2.4,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,beat,1.9,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,bullish,2.4,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,buyback,1.1,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,default,-3.1,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,downgrade,-2.1,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,impairment,-2.0,True,0.1
initial_compact_lexicon,reviewer_08,context-ambiguity NLP auditor,insolvency,-3.3,True,0.1
